HEADER		
'time'		'total volume'
UNITS		
's'	'cm^3'	
53.07444	2.94858	
53.16305	2.953503	
53.25496	2.958609	
53.35106	2.963947	
53.45247	2.969581	
53.56059	2.975588	
53.67704	2.982058	
53.80384	2.989102	
53.92189	2.99566	
54.03014	3.001674	
54.13136	3.007297	
54.22728	3.012626	
54.31916	3.017731	
54.40796	3.022664	
54.49438	3.027465	
54.57901	3.032167	
54.66235	3.036797	
54.74485	3.04138	
54.82696	3.045942	
54.90912	3.050506	
54.9918	3.0551	
55.07553	3.059751	
55.16084	3.064491	
55.24837	3.069353	
55.33887	3.074382	
55.43318	3.079621	
55.53231	3.085128	
55.63755	3.090975	
55.75044	3.097246	
55.87277	3.104042	
55.99624	3.110902	
56.10822	3.117123	
56.21217	3.122898	
56.31018	3.128343	
56.40367	3.133537	
56.4937	3.138538	
56.58107	3.143393	
56.66643	3.148135	
56.75029	3.152794	
56.83313	3.157396	
56.91538	3.161965	
56.9975	3.166527	
57.07994	3.171108	
57.1632	3.175733	
57.24783	3.180435	
57.33438	3.185243	
57.42359	3.190199	
57.51624	3.195347	
57.61327	3.200737	
57.71584	3.206435	
57.8254	3.212522	
57.94361	3.219089	
58.07262	3.226257	
58.18864	3.232702	
58.29549	3.238638	
58.39568	3.244204	
58.49085	3.249491	
58.58216	3.254564	
58.67054	3.259474	
58.75666	3.264259	
58.84109	3.268949	
58.92431	3.273572	
59.00677	3.278154	
59.08893	3.282718	
59.17124	3.287291	
59.25416	3.291897	
59.33823	3.296568	
59.42399	3.301333	
59.51212	3.306229	
59.60339	3.311299	
59.69863	3.31659	
59.79894	3.322163	
59.90566	3.328092	
60.02036	3.334464	
60.14494	3.341385	
60.26589	3.348105	
60.37617	3.354232	
60.47892	3.35994	
60.57602	3.365334	
60.66883	3.37049	
60.75836	3.375464	
60.84537	3.380298	
60.93046	3.385025	
61.01415	3.389675	
61.09691	3.394272	
61.17917	3.398842	
61.26139	3.40341	
61.34402	3.408001	
61.42758	3.412643	
61.51262	3.417367	
61.59971	3.422206	
61.68962	3.427201	
61.78315	3.432397	
61.88127	3.437848	
61.98521	3.443622	
62.09647	3.449804	
62.21677	3.456487	
62.34342	3.463523	
62.45755	3.469864	
62.56308	3.475726	
62.6623	3.481239	
62.75673	3.486485	
62.8475	3.491528	
62.93547	3.496415	
63.0213	3.501183	
63.10553	3.505863	
63.18864	3.51048	
63.27108	3.51506	
63.35329	3.519627	
63.43574	3.524208	
63.5189	3.528827	
63.60331	3.533517	
63.68954	3.538307	
63.77827	3.543237	
63.87029	3.548349	
63.96649	3.553693	
64.06798	3.559332	
64.17619	3.565343	
64.29271	3.571817	
64.41957	3.578865	
64.53815	3.585452	
64.64682	3.59149	
64.74839	3.597132	
64.84462	3.602478	
64.93677	3.607598	
65.0258	3.612544	
65.11244	3.617358	
65.19728	3.622071	
65.28081	3.626712	
65.3635	3.631305	
65.44577	3.635876	
65.5281	3.64045	
65.61094	3.645052	
65.69482	3.649712	
65.78028	3.65446	
65.86795	3.65933	
65.9586	3.664366	
66.05304	3.669613	
66.15232	3.675128	
66.2577	3.680983	
66.37075	3.687264	
66.49325	3.694069	
66.61713	3.700951	
66.72942	3.707189	
66.83364	3.71298	
66.93189	3.718438	
67.02559	3.723644	
67.11582	3.728656	
67.20338	3.733521	
67.28891	3.738273	
67.37294	3.742941	
67.45594	3.747552	
67.53835	3.752131	
67.62064	3.756702	
67.70324	3.761291	
67.78666	3.765925	
67.87144	3.770635	
67.95816	3.775453	
68.04753	3.780418	
68.14037	3.785576	
68.23758	3.790977	
68.34036	3.796686	
68.45016	3.802786	
68.56863	3.809368	
68.69796	3.816553	
68.81416	3.823009	
68.92119	3.828955	
69.02155	3.83453	
69.11687	3.839826	
69.20833	3.844907	
69.29685	3.849825	
69.38312	3.854617	
69.46769	3.859316	
69.55106	3.863947	
69.63367	3.868537	
69.71598	3.873109	
69.79844	3.877691	
69.88151	3.882306	
69.96575	3.886986	
70.05169	3.89176	
70.14	3.896667	
70.23147	3.901748	
70.32695	3.907052	
70.42752	3.91264	
70.53453	3.918585	
70.64958	3.924976	
70.77457	3.93192	
70.89555	3.938641	
71.00589	3.944771	
71.10871	3.950484	
71.20591	3.955884	
71.29882	3.961045	
71.38845	3.966024	
71.47556	3.970864	
71.56077	3.975598	
71.64459	3.980254	
71.72747	3.984859	
71.80986	3.989437	
71.89223	3.994012	
71.97502	3.998612	
72.05875	4.003263	
72.14396	4.007997	
72.23125	4.012847	
72.32139	4.017855	
72.41517	4.023065	
72.51359	4.028532	
72.61787	4.034326	
72.72953	4.040529	
72.85031	4.047239	
72.97682	4.054267	
73.09089	4.060605	
73.19641	4.066467	
73.29566	4.071981	
73.39014	4.07723	
73.48097	4.082276	
73.56902	4.087167	
73.65494	4.091941	
73.73926	4.096625	
73.82248	4.101249	
73.90504	4.105835	
73.98738	4.11041	
74.06998	4.114998	
74.15329	4.119627	
74.23789	4.124327	
74.32431	4.129128	
74.41327	4.13407	
74.50556	4.139197	
74.60206	4.144559	
74.70392	4.150218	
74.81255	4.156253	
74.92958	4.162754	
75.05707	4.169837	
75.17541	4.176411	
75.28395	4.182441	
75.38545	4.18808	
75.48165	4.193425	
75.57381	4.198544	
75.66287	4.203492	
75.74956	4.208309	
75.83447	4.213026	
75.91808	4.217671	
76.00087	4.22227	
76.08326	4.226848	
76.16573	4.231429	
76.24873	4.23604	
76.33278	4.24071	
76.41845	4.245469	
76.50636	4.250353	
76.5973	4.255405	
76.69207	4.26067	
76.79174	4.266207	
76.8976	4.272089	
77.01122	4.278401	
77.13441	4.285245	
77.25784	4.292102	
77.36987	4.298326	
77.47394	4.304107	
77.57209	4.30956	
77.66574	4.314763	
77.75595	4.319775	
77.84353	4.32464	
77.9291	4.329394	
78.01319	4.334066	
78.09627	4.338681	
78.17878	4.343265	
78.26119	4.347843	
78.34393	4.35244	
78.42752	4.357084	
78.51251	4.361806	
78.59946	4.366636	
78.68913	4.371618	
78.78229	4.376794	
78.87991	4.382217	
78.98317	4.387953	
79.09355	4.394086	
79.21273	4.400707	
79.34183	4.407879	
79.45763	4.414313	
79.56441	4.420245	
79.6646	4.425811	
79.75982	4.431101	
79.85123	4.436179	
79.93974	4.441096	
80.02601	4.445889	
80.11062	4.45059	
80.19404	4.455224	
80.27674	4.459818	
80.35915	4.464397	
80.44174	4.468985	
80.52498	4.47361	
80.60941	4.4783	
80.69558	4.483087	
80.78417	4.488009	
80.87597	4.493109	
80.97184	4.498435	
81.07288	4.504049	
81.18047	4.510026	
81.29621	4.516456	
81.42207	4.523448	
81.54243	4.530134	
81.65238	4.536243	
81.75493	4.54194	
81.85195	4.54733	
81.94475	4.552486	
82.03431	4.557461	
82.1214	4.562299	
82.20661	4.567033	
82.29045	4.571692	
82.3734	4.5763	
82.45588	4.580882	
82.53837	4.585464	
82.6213	4.590072	
82.70522	4.594734	
82.79066	4.599481	
82.87823	4.604346	
82.9687	4.609372	
83.06288	4.614604	
83.16178	4.620099	
83.26666	4.625925	
83.37905	4.632169	
83.50071	4.638928	
83.62639	4.64591	
83.73994	4.652218	
83.84512	4.658062	
83.94412	4.663562	
84.03844	4.668802	
84.12917	4.673842	
84.21716	4.678731	
84.30305	4.683502	
84.38739	4.688188	
84.47064	4.692813	
84.55327	4.697403	
84.63572	4.701984	
84.71844	4.70658	
84.80193	4.711218	
84.88674	4.715929	
84.97342	4.720745	
85.06269	4.725705	
85.15536	4.730853	
85.25232	4.73624	
85.35475	4.74193	
85.46407	4.748003	
85.58194	4.754552	
85.71047	4.761692	
85.82803	4.768224	
85.93605	4.774225	
86.0372	4.779844	
86.13314	4.785174	
86.22513	4.790284	
86.31407	4.795226	
86.4007	4.800039	
86.48558	4.804754	
86.56921	4.8094	
86.65204	4.814002	
86.73452	4.818584	
86.8171	4.823172	
86.90026	4.827792	
86.98453	4.832474	
87.07046	4.837247	
87.1587	4.842149	
87.25002	4.847223	
87.34528	4.852515	
87.44555	4.858085	
87.55213	4.864007	
87.66664	4.870369	
87.79093	4.877274	
87.91333	4.884073	
88.02468	4.89026	
88.12828	4.896015	
88.2261	4.90145	
88.31952	4.906639	
88.40956	4.911642	
88.49704	4.916502	
88.58255	4.921252	
88.66662	4.925923	
88.74972	4.93054	
88.83229	4.935127	
88.9148	4.939711	
88.99769	4.944316	
89.08147	4.94897	
89.1667	4.953705	
89.25396	4.958553	
89.34401	4.963556	
89.43764	4.968758	
89.53583	4.974213	
89.6398	4.979988	
89.75105	4.986169	
89.87129	4.992849	
89.99917	4.999953	
90.11419	5.006344	
90.22043	5.012246	
90.32025	5.017791	
90.4152	5.023066	
90.50642	5.028134	
90.59479	5.033044	
90.68099	5.037833	
90.76556	5.042531	
90.84899	5.047166	
90.93173	5.051762	
91.01422	5.056345	
91.09693	5.06094	
91.18034	5.065574	
91.26498	5.070276	
91.35142	5.075079	
91.44036	5.080019	
91.53258	5.085143	
91.62896	5.090497	
91.73064	5.096146	
91.83901	5.102167	
91.95571	5.10865	
92.08275	5.115708	
92.20206	5.122336	
92.31131	5.128406	
92.41337	5.134076	
92.51003	5.139446	
92.60257	5.144587	
92.69195	5.149552	
92.77892	5.154384	
92.86406	5.159114	
92.94788	5.163771	
93.03084	5.16838	
93.11339	5.172965	
93.19598	5.177554	
93.27907	5.18217	
93.36319	5.186844	
93.4489	5.191605	
93.53681	5.196489	
93.6277	5.201539	
93.7224	5.2068	
93.82194	5.21233	
93.92761	5.2182	
94.04097	5.224498	
94.16383	5.231323	
94.28821	5.238233	
94.40091	5.244495	
94.5055	5.250305	
94.60408	5.255782	
94.69809	5.261005	
94.7886	5.266033	
94.87643	5.270912	
94.96223	5.275679	
95.04651	5.280361	
95.12976	5.284986	
95.21243	5.289579	
95.29496	5.294164	
95.37781	5.298767	
95.46149	5.303416	
95.54653	5.30814	
95.63352	5.312973	
95.72319	5.317955	
95.81634	5.323129	
95.9139	5.328549	
96.01705	5.33428	
96.12728	5.340404	
96.24627	5.347014	
96.3762	5.354233	
96.49259	5.360699	
