-- SG    KRG    KROG   PCOG
SGOF
0.29285714 0.00455487 0.25215601 0.00012175
0.30204082 0.00536029 0.23905708 0.00012268
0.31122449 0.00626262 0.22645155 0.00012364
0.32040816 0.00726856 0.21432811 0.00012461
0.32959184 0.00838492 0.20267551 0.00012561
0.33877551 0.00961868 0.19148262 0.00012663
0.34795918 0.01097696 0.18073838 0.00012768
0.35714286 0.01246700 0.17043181 0.00012876
0.36632653 0.01409619 0.16055205 0.00012986
0.37551020 0.01587205 0.15108831 0.00013099
0.38469388 0.01780224 0.14202990 0.00013216
0.39387755 0.01989453 0.13336621 0.00013335
0.40306122 0.02215682 0.12508675 0.00013458
0.41224490 0.02459716 0.11718111 0.00013584
0.42142857 0.02722368 0.10963896 0.00013713
0.43061224 0.03004467 0.10245009 0.00013847
0.43979592 0.03306852 0.09560439 0.00013984
0.44897959 0.03630374 0.08909183 0.00014126
0.45816327 0.03975895 0.08290249 0.00014272
0.46734694 0.04344289 0.07702655 0.00014423
0.47653061 0.04736442 0.07145429 0.00014578
0.48571429 0.05153250 0.06617608 0.00014739
0.49489796 0.05595621 0.06118243 0.00014905
0.50408163 0.06064474 0.05646392 0.00015077
0.51326531 0.06560736 0.05201124 0.00015255
0.52244898 0.07085347 0.04781520 0.00015440
0.53163265 0.07639259 0.04386672 0.00015631
0.54081633 0.08223431 0.04015682 0.00015829
0.55000000 0.08838835 0.03667663 0.00016036
0.55918367 0.09486451 0.03341739 0.00016250
0.56836735 0.10167270 0.03037048 0.00016474
0.57755102 0.10882294 0.02752737 0.00016707
0.58673469 0.11632533 0.02487965 0.00016950
0.59591837 0.12419008 0.02241903 0.00017204
0.60510204 0.13242749 0.02013735 0.00017470
0.61428571 0.14104797 0.01802657 0.00017748
0.62346939 0.15006200 0.01607876 0.00018041
0.63265306 0.15948018 0.01428613 0.00018348
0.64183673 0.16931318 0.01264101 0.00018671
0.65102041 0.17957179 0.01113587 0.00019013
0.66020408 0.19026686 0.00976332 0.00019373
0.66938776 0.20140936 0.00851608 0.00019755
0.67857143 0.21301033 0.00738702 0.00020161
0.68775510 0.22508090 0.00636915 0.00020592
0.69693878 0.23763231 0.00545564 0.00021053
0.70612245 0.25067586 0.00463978 0.00021546
0.71530612 0.26422295 0.00391503 0.00022075
0.72448980 0.27828508 0.00327499 0.00022645
0.73367347 0.29287382 0.00271342 0.00023262
0.74285714 0.30800082 0.00222424 0.00023932
0.75204082 0.32367783 0.00180156 0.00024663
0.76122449 0.33991668 0.00143961 0.00025466
0.77040816 0.35672927 0.00113285 0.00026353
0.77959184 0.37412761 0.00087588 0.00027340
0.78877551 0.39212376 0.00066352 0.00028446
0.79795918 0.41072989 0.00049075 0.00029698
0.80714286 0.42995824 0.00035278 0.00031132
0.81632653 0.44982112 0.00024502 0.00032796
0.82551020 0.47033095 0.00016311 0.00034759
0.83469388 0.49150019 0.00010292 0.00037123
0.84387755 0.51334141 0.00006055 0.00040045
0.85306122 0.53586725 0.00003240 0.00043788
0.86224490 0.55909043 0.00001512 0.00048824
0.87142857 0.58302374 0.00000570 0.00056125
0.88061224 0.60768004 0.00000147 0.00068133
0.88979592 0.63307230 0.00000016 0.00093915
0.89897959 0.65921354 0.00000000 0.00296984
0.90816327 0.68611685 0.00000000 0.95000000
0.91734694 0.71379542 0.00000000 0.95000000
0.92653061 0.74226250 0.00000000 0.95000000
0.93571429 0.77153140 0.00000000 0.95000000
0.94489796 0.80161555 0.00000000 0.95000000
0.95408163 0.83252840 0.00000000 0.95000000
0.96326531 0.86428350 0.00000000 0.95000000
0.97244898 0.89689449 0.00000000 0.95000000
0.98163265 0.93037504 0.00000000 0.95000000
0.99081633 0.96473893 0.00000000 0.95000000
1.00000000 1.00000000 0.00000000 0.95000000
/
