# This autogenerated file contains solubilities of H2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 40.0, max temperature = 60.0, #temperature sampling points = 20
# min phase pressure = 101325.0, max phase pressure = 4500000.0, #pressure sampling points = 20
#
# temperature [°C], phase pressure [Pa],         y_H2O [-],         x_H2 [-]
 4.52631578947e+01,   3.57396315789e+06, 2.74257783935e-03, 4.73022687173e-04
 4.52631578947e+01,   3.80547236842e+06, 2.58697901490e-03, 5.03283406791e-04
 4.52631578947e+01,   4.03698157895e+06, 2.44922223651e-03, 5.33489791490e-04
 4.52631578947e+01,   4.26849078947e+06, 2.32640430123e-03, 5.63642095416e-04
 4.52631578947e+01,   4.50000000000e+06, 2.21621944350e-03, 5.93740568651e-04
 4.63157894737e+01,   1.01325000000e+05, 9.51087220411e-02, 1.23149308440e-05
 4.63157894737e+01,   3.32834210526e+05, 2.90888342620e-02, 4.33626965314e-05
 4.63157894737e+01,   5.64343421053e+05, 1.72352763869e-02, 7.43520502520e-05
 4.63157894737e+01,   7.95852631579e+05, 1.22779738979e-02, 1.05283332388e-04
 4.63157894737e+01,   1.02736184211e+06, 9.55484950466e-03, 1.36156875369e-04
 4.63157894737e+01,   1.25887105263e+06, 7.83329179449e-03, 1.66973004020e-04
 4.63157894737e+01,   1.49038026316e+06, 6.64656340509e-03, 1.97732035897e-04
 4.63157894737e+01,   1.72188947368e+06, 5.77893959080e-03, 2.28434281601e-04
 4.63157894737e+01,   1.95339868421e+06, 5.11696303014e-03, 2.59080045090e-04
 4.63157894737e+01,   2.18490789474e+06, 4.59526339437e-03, 2.89669623970e-04
 4.63157894737e+01,   2.41641710526e+06, 4.17352204116e-03, 3.20203309780e-04
 4.63157894737e+01,   2.64792631579e+06, 3.82552062221e-03, 3.50681388254e-04
 4.63157894737e+01,   2.87943552632e+06, 3.53347270170e-03, 3.81104139590e-04
 4.63157894737e+01,   3.11094473684e+06, 3.28488634066e-03, 4.11471838691e-04
 4.63157894737e+01,   3.34245394737e+06, 3.07073052696e-03, 4.41784755404e-04
 4.63157894737e+01,   3.57396315789e+06, 2.88431423991e-03, 4.72043154749e-04
 4.63157894737e+01,   3.80547236842e+06, 2.72057467331e-03, 5.02247297141e-04
 4.63157894737e+01,   4.03698157895e+06, 2.57561036868e-03, 5.32397438585e-04
 4.63157894737e+01,   4.26849078947e+06, 2.44636627647e-03, 5.62493830893e-04
 4.63157894737e+01,   4.50000000000e+06, 2.33041603229e-03, 5.92536721870e-04
 4.73684210526e+01,   1.01325000000e+05, 1.00039939998e-01, 1.22256439102e-05
 4.73684210526e+01,   3.32834210526e+05, 3.05958300219e-02, 4.32171800815e-05
 4.73684210526e+01,   5.64343421053e+05, 1.81274670381e-02, 7.41506687742e-05
 4.73684210526e+01,   7.95852631579e+05, 1.29130439766e-02, 1.05026446817e-04
 4.73684210526e+01,   1.02736184211e+06, 1.00486779910e-02, 1.35844843209e-04
 4.73684210526e+01,   1.25887105263e+06, 8.23782644908e-03, 1.66606179462e-04
 4.73684210526e+01,   1.49038026316e+06, 6.98954396294e-03, 1.97310769926e-04
 4.73684210526e+01,   1.72188947368e+06, 6.07691690308e-03, 2.27958922104e-04
 4.73684210526e+01,   1.95339868421e+06, 5.38060331592e-03, 2.58550936955e-04
 4.73684210526e+01,   2.18490789474e+06, 4.83184234388e-03, 2.89087109175e-04
 4.73684210526e+01,   2.41641710526e+06, 4.38822415857e-03, 3.19567727487e-04
 4.73684210526e+01,   2.64792631579e+06, 4.02217055838e-03, 3.49993074889e-04
 4.73684210526e+01,   2.87943552632e+06, 3.71497258772e-03, 3.80363428927e-04
 4.73684210526e+01,   3.11094473684e+06, 3.45349039488e-03, 4.10679061921e-04
 4.73684210526e+01,   3.34245394737e+06, 3.22822456103e-03, 4.40940241209e-04
 4.73684210526e+01,   3.57396315789e+06, 3.03213702590e-03, 4.71147229374e-04
 4.73684210526e+01,   3.80547236842e+06, 2.85990239349e-03, 5.01300284446e-04
 4.73684210526e+01,   4.03698157895e+06, 2.70741685050e-03, 5.31399660120e-04
 4.73684210526e+01,   4.26849078947e+06, 2.57146689283e-03, 5.61445605941e-04
 4.73684210526e+01,   4.50000000000e+06, 2.44950030921e-03, 5.91438367506e-04
 4.84210526316e+01,   1.01325000000e+05, 1.05183531962e-01, 1.21359184481e-05
 4.84210526316e+01,   3.32834210526e+05, 3.21676701852e-02, 4.30768217742e-05
 4.84210526316e+01,   5.64343421053e+05, 1.90580136962e-02, 7.39600286540e-05
 4.84210526316e+01,   7.95852631579e+05, 1.35753921823e-02, 1.04785872472e-04
 4.84210526316e+01,   1.02736184211e+06, 1.05636992666e-02, 1.35554678904e-04
 4.84210526316e+01,   1.25887105263e+06, 8.65970667841e-03, 1.66266766248e-04
 4.84210526316e+01,   1.49038026316e+06, 7.34721802321e-03, 1.96922445750e-04
 4.84210526316e+01,   1.72188947368e+06, 6.38764872467e-03, 2.27522021909e-04
 4.84210526316e+01,   1.95339868421e+06, 5.65551866309e-03, 2.58065792775e-04
 4.84210526316e+01,   2.18490789474e+06, 5.07853037408e-03, 2.88554050231e-04
 4.84210526316e+01,   2.41641710526e+06, 4.61209274641e-03, 3.18987080264e-04
 4.84210526316e+01,   2.64792631579e+06, 4.22720913704e-03, 3.49365163227e-04
 4.84210526316e+01,   2.87943552632e+06, 3.90420832476e-03, 3.79688574091e-04
 4.84210526316e+01,   3.11094473684e+06, 3.62927463032e-03, 4.09957582679e-04
 4.84210526316e+01,   3.34245394737e+06, 3.39242004733e-03, 4.40172453901e-04
 4.84210526316e+01,   3.57396315789e+06, 3.18624452408e-03, 4.70333447970e-04
 4.84210526316e+01,   3.80547236842e+06, 3.00514876131e-03, 5.00440820617e-04
 4.84210526316e+01,   4.03698157895e+06, 2.84481787264e-03, 5.30494823287e-04
 4.84210526316e+01,   4.26849078947e+06, 2.70187307253e-03, 5.60495703341e-04
 4.84210526316e+01,   4.50000000000e+06, 2.57363088088e-03, 5.90443704230e-04
 4.94736842105e+01,   1.01325000000e+05, 1.10546439741e-01, 1.20456029824e-05
 4.94736842105e+01,   3.32834210526e+05, 3.38064719318e-02, 4.29413836517e-05
 4.94736842105e+01,   5.64343421053e+05, 2.00281672960e-02, 7.37798057877e-05
 4.94736842105e+01,   7.95852631579e+05, 1.42659071719e-02, 1.04561199437e-04
 4.94736842105e+01,   1.02736184211e+06, 1.11006029806e-02, 1.35285887052e-04
 4.94736842105e+01,   1.25887105263e+06, 9.09949631658e-03, 1.65954183818e-04
 4.94736842105e+01,   1.49038026316e+06, 7.72006268943e-03, 1.96566397970e-04
 4.94736842105e+01,   1.72188947368e+06, 6.71154874824e-03, 2.27122831100e-04
 4.94736842105e+01,   1.95339868421e+06, 5.94207438183e-03, 2.57623778438e-04
 4.94736842105e+01,   2.18490789474e+06, 5.33565466396e-03, 2.88069529138e-04
 4.94736842105e+01,   2.41641710526e+06, 4.84542415731e-03, 3.18460366541e-04
 4.94736842105e+01,   2.64792631579e+06, 4.44090727333e-03, 3.48796568436e-04
 4.94736842105e+01,   2.87943552632e+06, 4.10142947951e-03, 3.79078407297e-04
 4.94736842105e+01,   3.11094473684e+06, 3.81247044140e-03, 4.09306150533e-04
 4.94736842105e+01,   3.34245394737e+06, 3.56353272422e-03, 4.39480060696e-04
 4.94736842105e+01,   3.57396315789e+06, 3.34683884397e-03, 4.69600395709e-04
 4.94736842105e+01,   3.80547236842e+06, 3.15650391469e-03, 4.99667409072e-04
 4.94736842105e+01,   4.03698157895e+06, 2.98799297355e-03, 5.29681350057e-04
 4.94736842105e+01,   4.26849078947e+06, 2.83775490346e-03, 5.59642463902e-04
 4.94736842105e+01,   4.50000000000e+06, 2.70296935614e-03, 5.89550991991e-04
 5.05263157895e+01,   1.01325000000e+05, 1.16135738432e-01, 1.19545437174e-05
 5.05263157895e+01,   3.32834210526e+05, 3.55143930113e-02, 4.28106287487e-05
 5.05263157895e+01,   5.64343421053e+05, 2.10392026954e-02, 7.36096803638e-05
 5.05263157895e+01,   7.95852631579e+05, 1.49854945631e-02, 1.04352025374e-04
 5.05263157895e+01,   1.02736184211e+06, 1.16600919182e-02, 1.35037983107e-04
 5.05263157895e+01,   1.25887105263e+06, 9.55776991587e-03, 1.65667865733e-04
 5.05263157895e+01,   1.49038026316e+06, 8.10856411657e-03, 1.96241978571e-04
 5.05263157895e+01,   1.72188947368e+06, 7.04903849929e-03, 2.26760620391e-04
 5.05263157895e+01,   1.95339868421e+06, 6.24064268546e-03, 2.57224083690e-04
 5.05263157895e+01,   2.18490789474e+06, 5.60354856296e-03, 2.87632654982e-04
