# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 40.0, max temperature = 60.0, #temperature sampling points = 20
# min pressure = 101325.0, max pressure = 4500000.0, #pressure sampling points = 20
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 4.73684210526e+01, 1.02736184211e+06, 9.89606365641e+02, 5.71740676529e-04, 1.99219997868e+05
 4.73684210526e+01, 1.25887105263e+06, 9.89707238477e+02, 5.71783860751e-04, 1.99420975408e+05
 4.73684210526e+01, 1.49038026316e+06, 9.89808059509e+02, 5.71827084619e-04, 1.99621933027e+05
 4.73684210526e+01, 1.72188947368e+06, 9.89908828796e+02, 5.71870348182e-04, 1.99822870725e+05
 4.73684210526e+01, 1.95339868421e+06, 9.90009546399e+02, 5.71913651490e-04, 2.00023788503e+05
 4.73684210526e+01, 2.18490789474e+06, 9.90110212378e+02, 5.71956994591e-04, 2.00224686361e+05
 4.73684210526e+01, 2.41641710526e+06, 9.90210826793e+02, 5.72000377534e-04, 2.00425564300e+05
 4.73684210526e+01, 2.64792631579e+06, 9.90311389704e+02, 5.72043800368e-04, 2.00626422321e+05
 4.73684210526e+01, 2.87943552632e+06, 9.90411901171e+02, 5.72087263140e-04, 2.00827260423e+05
 4.73684210526e+01, 3.11094473684e+06, 9.90512361253e+02, 5.72130765900e-04, 2.01028078608e+05
 4.73684210526e+01, 3.34245394737e+06, 9.90612770009e+02, 5.72174308694e-04, 2.01228876876e+05
 4.73684210526e+01, 3.57396315789e+06, 9.90713127500e+02, 5.72217891570e-04, 2.01429655229e+05
 4.73684210526e+01, 3.80547236842e+06, 9.90813433784e+02, 5.72261514575e-04, 2.01630413666e+05
 4.73684210526e+01, 4.03698157895e+06, 9.90913688921e+02, 5.72305177757e-04, 2.01831152189e+05
 4.73684210526e+01, 4.26849078947e+06, 9.91013892969e+02, 5.72348881162e-04, 2.02031870799e+05
