HEADER		
'time'		'total volume'
UNITS		
'hour'		'cm^3'
690.3019444	5.30771659	
692.8855556	7.389657236	
695.0236111	7.441611672	
696.9691667	7.434722828	
698.9316667	7.460157271	
700.8788889	7.44174309	
702.8266667	7.46964316	
704.7736111	7.423267115	
706.7372222	7.465189662	
708.8769444	7.431389874	
710.8244444	7.48954433	
712.7888889	7.450899216	
714.7358333	7.413092854	
716.6825	7.436233956	
718.6297222	7.480383435	
720.5938889	7.422434464	
722.7355556	7.448375024	
724.0180556	7.435107148	
725.9655556	7.444151597	
727.9286111	7.468503326	
729.8758333	7.445815346	
731.8238889	7.461026897	
733.7697222	7.5005372	
735.9275	7.496520341	
737.8741667	7.437040999	
739.8216667	7.442702204	
741.7855556	7.48006322	
743.7330556	7.465854872	
745.6805556	7.450654871	
747.6288889	7.505997369	
749.7866667	10.23667794	
751.7341667	10.19301144	
753.6808333	10.29073342	
755.645	10.26984687	
757.5925	10.23968479	
759.5391667	10.24242496	
761.4869444	10.23817415	
763.6447222	10.2508096	
765.5911111	10.22522237	
767.5386111	10.21718094	
769.5025	10.32256526	
771.4502778	10.26223651	
773.3972222	10.28177635	
775.3455556	10.27138038	
777.5016667	10.2439695	
779.4486111	10.23251353	
781.3955556	10.22688844	
783.3588889	10.27017254	
785.3072222	10.21621443	
787.2544444	10.23951388	
789.2022222	10.27169156	
791.3602778	10.23181459	
793.3083333	10.23785043	
795.2552778	10.22762511	
797.2194444	10.25429841	
799.1663889	10.25808521	
801.1141667	10.25409281	
803.0622222	10.21643179	
805.2202778	10.26856807	
807.1680556	10.2151624	
809.115	10.27504423	
811.0791667	10.27607032	
813.0244444	10.23904317	
814.9702778	10.2521497	
816.9172222	10.24726188	
819.0736111	10.25023112	
821.0208333	10.29671469	
822.9680556	10.229181	
824.9311111	10.23268228	
826.8775	10.23104032	
828.8255556	10.33872857	
830.7725	10.27093459	
832.9288889	10.27298258	
834.8747222	10.25873742	
836.8205556	10.26480383	
838.7838889	10.24774409	
840.7316667	10.2797396	
845.1683333	10.2831011	
847.5988889	10.2408782	
850.0291667	10.27170531	
852.4594444	10.28096673	
854.8891667	10.25082335	
857.5125	10.25362152	
859.9425	10.26990839	
862.3722222	13.06000627	
864.8033333	13.70876593	
866.8080556	14.02428166	
868.2655556	14.15680108	
869.6922222	14.27908005	
870.9208333	14.37077376	
872.1491667	14.37574699	
873.3780556	14.47045117	
874.6063889	14.51109982	
875.8352778	14.57434575	
877.0638889	14.59922415	
878.2925	14.64864084	
879.5208333	14.66736422	
880.7488889	14.70620465	
882.1755556	14.74167725	
883.4036111	14.78711113	
884.6313889	14.80232707	
888.7338889	14.89758912	
890.9316667	14.9377232	
893.1441667	14.94534843	
895.5455556	14.9840486	
897.7416667	14.98440738	
899.955	15.08393822	
902.1519444	15.10967385	
904.3469444	15.07236168	
906.5602778	15.15185747	
908.9591667	15.13217331	
911.1558333	15.12091285	
913.3697222	15.17098954	
915.5677778	15.22586854	
917.7641667	15.21853879	
919.9775	15.25133984	
922.3786111	15.25981268	
924.5752778	15.20776749	
926.7875	15.28998314	
928.9841667	15.31078479	
931.1805556	15.27829582	
933.3941667	15.30743683	
935.7938889	15.34793836	
942.7433333	15.33051334	
945.1716667	15.37433067	
947.6152778	15.38189458	
950.0402778	15.41784581	
952.6602778	15.40649323	
955.1033333	15.41186752	
957.53	15.43908578	
959.9569444	15.43208359	
962.3997222	15.4708918	
965.0186111	15.49199061	
967.4441667	15.42883246	
969.8877778	15.47587064	
972.3138889	15.45850266	
974.7397222	15.5020398	
977.3755556	15.53731704	
979.8025	15.47149636	
982.2280556	15.5582658	
984.6711111	15.54827325	
987.0983333	15.51896968	
989.7188889	15.56270963	
992.1627778	15.55441923	
994.5888889	15.53718762	
997.0161111	15.5792938	
999.4616667	15.57350669	
1002.082222	15.57300171	
1004.511667	15.54598698	
1006.955278	15.58603818	
1009.381667	15.5812869	
1011.808056	15.58364644	
1014.251944	15.91211319	
1016.876111	15.98068757	
1019.303333	16.00216715	
1021.746389	16.02554597	
1024.171944	16.08387255	
1026.598056	16.12128443	
1029.238333	16.11438175	
1031.667222	16.12481911	
1034.093611	16.13813295	
1036.537222	16.18592554	
1038.963889	16.22524537	
1041.588056	16.2087036	
1044.032778	16.22752885	
1046.459722	16.25944512	
1048.886944	16.26754854	
1051.331667	16.2479617	
1053.956111	16.27749401	
1056.381667	16.32006718	
1058.825278	16.33359885	
1061.2525	16.29547485	
1063.679167	16.35158117	
1066.320278	16.32933666	
1068.748056	16.37690633	
1071.174167	16.41260493	
1073.619444	16.34521912	
1076.046667	16.35390113	
1078.670556	16.42862948	
1081.114167	16.36626916	
1083.546944	16.43588745	
1102.96	16.52073179	
1104.733611	16.46713113	
1106.506944	16.52087817	
1108.296944	16.52652778	
1110.069444	16.51616648	
1112.497222	16.53622103	
1114.269722	16.53293949	
1116.912222	16.52720384	
1118.685556	16.55383798	
1121.113056	16.59573116	
1122.902778	16.53616782	
1125.330833	16.53345517	
1127.103889	16.57725266	
1129.741944	16.61546726	
1131.515556	16.59427598	
1133.943889	16.6033012	
1135.735	16.58911603	
1138.1625	16.60634886	
1139.934444	16.62048078	
1142.571944	16.65135195	
1144.345556	16.63996504	
1146.773333	16.6226111	
1148.5625	16.63264366	
1150.993889	16.64678222	
1152.767222	16.60859368	
1155.404167	16.67484449	
1157.1775	16.64777191	
1159.605	16.67338164	
1161.394167	16.67504345	
1163.8225	16.68271756	
1165.595833	16.60032672	
1168.233333	16.66582224	
1170.005833	16.68138253	
1172.4325	16.69539787	
1174.222778	16.67529609	
1176.651111	16.68722255	
1178.423056	16.68856752	
1181.060833	16.73024573	
1182.834167	16.64879508	
1185.260833	16.73445157	
1187.048056	16.75401357	
1189.475556	16.71357824	
1191.249444	16.73280133	
1193.887222	16.73071951	
1195.659722	16.76061439	
1198.087222	16.73886835	
1199.876944	16.72672406	
1202.303611	16.72104669	
1204.076667	16.70709832	
1206.715	16.76815796	
1209.142222	16.75503317	
1211.567222	16.75215277	
1214.008889	16.76508924	
1216.433056	16.77034023	
1219.052222	16.75888058	
1221.493333	16.7954978	
1223.918889	16.79858281	
1226.3425	16.77185554	
1228.784167	16.79406705	
1231.404444	16.82862287	
1233.831944	16.79669416	
1236.276111	16.77602553	
1238.702222	16.81686003	
1241.131111	16.77115021	
1245.651944	16.78840725	
