# This autogenerated file contains solubilities of H2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 99.0, #temperature sampling points = 15
# min phase pressure = 6000000.0, max phase pressure = 20000000.0, #pressure sampling points = 15
#
# temperature [°C], phase pressure [Pa],         y_H2O [-],         x_H2 [-]
 5.00000000000e+01,   1.00000000000e+07, 1.36763153375e-03, 1.28439514297e-03
 5.00000000000e+01,   1.10000000000e+07, 1.26313658413e-03, 1.40785877783e-03
 5.00000000000e+01,   1.20000000000e+07, 1.17598726540e-03, 1.53045413643e-03
 5.00000000000e+01,   1.30000000000e+07, 1.10217708142e-03, 1.65219564545e-03
 5.00000000000e+01,   1.40000000000e+07, 1.03884430519e-03, 1.77309746876e-03
 5.00000000000e+01,   1.50000000000e+07, 9.83890398251e-04, 1.89317355351e-03
 5.00000000000e+01,   1.60000000000e+07, 9.35741520997e-04, 2.01243766615e-03
 5.00000000000e+01,   1.70000000000e+07, 8.93194214372e-04, 2.13090342033e-03
 5.00000000000e+01,   1.80000000000e+07, 8.55312519876e-04, 2.24858429787e-03
 5.00000000000e+01,   1.90000000000e+07, 8.21357586940e-04, 2.36549366476e-03
 5.00000000000e+01,   2.00000000000e+07, 7.90738397415e-04, 2.48164478252e-03
 5.70000000000e+01,   6.00000000000e+06, 2.91777780623e-03, 7.77692093585e-04
 5.70000000000e+01,   7.00000000000e+06, 2.54186455163e-03, 9.04338228754e-04
 5.70000000000e+01,   8.00000000000e+06, 2.25980183477e-03, 1.03008261063e-03
 5.70000000000e+01,   9.00000000000e+06, 2.04029994045e-03, 1.15494071994e-03
 5.70000000000e+01,   1.00000000000e+07, 1.86458501084e-03, 1.27892747680e-03
 5.70000000000e+01,   1.10000000000e+07, 1.72071005313e-03, 1.40205734384e-03
 5.70000000000e+01,   1.20000000000e+07, 1.60071043829e-03, 1.52434441015e-03
 5.70000000000e+01,   1.30000000000e+07, 1.49907224229e-03, 1.64580245921e-03
 5.70000000000e+01,   1.40000000000e+07, 1.41185700938e-03, 1.76644502356e-03
 5.70000000000e+01,   1.50000000000e+07, 1.33617660720e-03, 1.88628542823e-03
 5.70000000000e+01,   1.60000000000e+07, 1.26986500918e-03, 2.00533682502e-03
 5.70000000000e+01,   1.70000000000e+07, 1.21126591661e-03, 2.12361221930e-03
 5.70000000000e+01,   1.80000000000e+07, 1.15909117197e-03, 2.24112449051e-03
 5.70000000000e+01,   1.90000000000e+07, 1.11232388271e-03, 2.35788640770e-03
 5.70000000000e+01,   2.00000000000e+07, 1.07015060693e-03, 2.47391064099e-03
 6.40000000000e+01,   6.00000000000e+06, 3.92671093928e-03, 7.79152114526e-04
 6.40000000000e+01,   7.00000000000e+06, 3.41793695099e-03, 9.06245362082e-04
 6.40000000000e+01,   8.00000000000e+06, 3.03616666041e-03, 1.03245760570e-03
 6.40000000000e+01,   9.00000000000e+06, 2.73905852541e-03, 1.15780373807e-03
 6.40000000000e+01,   1.00000000000e+07, 2.50120757268e-03, 1.28229812120e-03
 6.40000000000e+01,   1.10000000000e+07, 2.30644699795e-03, 1.40595468207e-03
 6.40000000000e+01,   1.20000000000e+07, 2.14399896004e-03, 1.52878699089e-03
 6.40000000000e+01,   1.30000000000e+07, 2.00640192660e-03, 1.65080832483e-03
 6.40000000000e+01,   1.40000000000e+07, 1.88832629633e-03, 1.77203171952e-03
 6.40000000000e+01,   1.50000000000e+07, 1.78586376912e-03, 1.89247001036e-03
 6.40000000000e+01,   1.60000000000e+07, 1.69608319983e-03, 2.01213586536e-03
 6.40000000000e+01,   1.70000000000e+07, 1.61674320741e-03, 2.13104181091e-03
 6.40000000000e+01,   1.80000000000e+07, 1.54610057932e-03, 2.24920025186e-03
 6.40000000000e+01,   1.90000000000e+07, 1.48277917847e-03, 2.36662348686e-03
 6.40000000000e+01,   2.00000000000e+07, 1.42567817686e-03, 2.48332371992e-03
 7.10000000000e+01,   6.00000000000e+06, 5.20310160169e-03, 7.85490043942e-04
 7.10000000000e+01,   7.00000000000e+06, 4.52539949553e-03, 9.13857538045e-04
 7.10000000000e+01,   8.00000000000e+06, 4.01685318037e-03, 1.04135826225e-03
 7.10000000000e+01,   9.00000000000e+06, 3.62106971605e-03, 1.16800665170e-03
 7.10000000000e+01,   1.00000000000e+07, 3.30421326370e-03, 1.29381663554e-03
 7.10000000000e+01,   1.10000000000e+07, 3.04475190623e-03, 1.41880172622e-03
 7.10000000000e+01,   1.20000000000e+07, 2.82833105143e-03, 1.54297509307e-03
 7.10000000000e+01,   1.30000000000e+07, 2.64501295105e-03, 1.66634962243e-03
 7.10000000000e+01,   1.40000000000e+07, 2.48769927849e-03, 1.78893796656e-03
 7.10000000000e+01,   1.50000000000e+07, 2.35118467166e-03, 1.91075258308e-03
 7.10000000000e+01,   1.60000000000e+07, 2.23156519427e-03, 2.03180576662e-03
