# This autogenerated file contains thermodynamical properties of H2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 99.0, #temperature sampling points = 15
# min pressure = 6000000.0, max pressure = 20000000.0, #pressure sampling points = 15
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 2.90000000000e+01, 1.60000000000e+07, 1.17075215959e+01, 9.22295539370e-06, 4.06930999367e+06
 2.90000000000e+01, 1.70000000000e+07, 1.23685822430e+01, 9.24650268702e-06, 4.07504803730e+06
 2.90000000000e+01, 1.80000000000e+07, 1.30219316248e+01, 9.27082712564e-06, 4.08085829840e+06
 2.90000000000e+01, 1.90000000000e+07, 1.36676780898e+01, 9.29589727516e-06, 4.08673861077e+06
 2.90000000000e+01, 2.00000000000e+07, 1.43059308275e+01, 9.32168283063e-06, 4.09268680769e+06
 3.60000000000e+01, 6.00000000000e+06, 4.54716039543e+00, 9.17821647589e-06, 4.11765212910e+06
 3.60000000000e+01, 7.00000000000e+06, 5.27495947783e+00, 9.19131397689e-06, 4.12271973947e+06
 3.60000000000e+01, 8.00000000000e+06, 5.99440121982e+00, 9.20553580307e-06, 4.12786954592e+06
 3.60000000000e+01, 9.00000000000e+06, 6.70557289710e+00, 9.22084048422e-06, 4.13310129677e+06
 3.60000000000e+01, 1.00000000000e+07, 7.40856335261e+00, 9.23718774262e-06, 4.13841433402e+06
 3.60000000000e+01, 1.10000000000e+07, 8.10346326065e+00, 9.25453848787e-06, 4.14380766631e+06
 3.60000000000e+01, 1.20000000000e+07, 8.79036524450e+00, 9.27285481084e-06, 4.14928003194e+06
 3.60000000000e+01, 1.30000000000e+07, 9.46936388193e+00, 9.29209997588e-06, 4.15482995322e+06
 3.60000000000e+01, 1.40000000000e+07, 1.01405556267e+01, 9.31223841085e-06, 4.16045578312e+06
 3.60000000000e+01, 1.50000000000e+07, 1.08040386691e+01, 9.33323569472e-06, 4.16615574521e+06
 3.60000000000e+01, 1.60000000000e+07, 1.14599127539e+01, 9.35505854263e-06, 4.17192796762e+06
 3.60000000000e+01, 1.70000000000e+07, 1.21082789707e+01, 9.37767478859e-06, 4.17777051184e+06
 3.60000000000e+01, 1.80000000000e+07, 1.27492395285e+01, 9.40105336599e-06, 4.18368139695e+06
