# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 99.0, #temperature sampling points = 15
# min pressure = 6000000.0, max pressure = 20000000.0, #pressure sampling points = 15
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 5.00000000000e+01, 1.90000000000e+07, 9.96113537349e+02, 5.50430246090e-04, 2.25656508857e+05
 5.00000000000e+01, 2.00000000000e+07, 9.96531851623e+02, 5.50643788947e-04, 2.26512378052e+05
 5.70000000000e+01, 6.00000000000e+06, 9.87271807677e+02, 4.89374503190e-04, 2.43684621944e+05
 5.70000000000e+01, 7.00000000000e+06, 9.87702303472e+02, 4.89608006986e-04, 2.44529541000e+05
 5.70000000000e+01, 8.00000000000e+06, 9.88131826155e+02, 4.89841859695e-04, 2.45374213062e+05
 5.70000000000e+01, 9.00000000000e+06, 9.88560380922e+02, 4.90076065284e-04, 2.46218637470e+05
 5.70000000000e+01, 1.00000000000e+07, 9.88987972912e+02, 4.90310627654e-04, 2.47062813585e+05
 5.70000000000e+01, 1.10000000000e+07, 9.89414607218e+02, 4.90545550642e-04, 2.47906740792e+05
 5.70000000000e+01, 1.20000000000e+07, 9.89840288878e+02, 4.90780838026e-04, 2.48750418494e+05
 5.70000000000e+01, 1.30000000000e+07, 9.90265022887e+02, 4.91016493520e-04, 2.49593846119e+05
 5.70000000000e+01, 1.40000000000e+07, 9.90688814185e+02, 4.91252520778e-04, 2.50437023112e+05
 5.70000000000e+01, 1.50000000000e+07, 9.91111667669e+02, 4.91488923395e-04, 2.51279948941e+05
 5.70000000000e+01, 1.60000000000e+07, 9.91533588188e+02, 4.91725704907e-04, 2.52122623091e+05
 5.70000000000e+01, 1.70000000000e+07, 9.91954580545e+02, 4.91962868794e-04, 2.52965045070e+05
 5.70000000000e+01, 1.80000000000e+07, 9.92374649498e+02, 4.92200418477e-04, 2.53807214403e+05
 5.70000000000e+01, 1.90000000000e+07, 9.92793799759e+02, 4.92438357322e-04, 2.54649130635e+05
 5.70000000000e+01, 2.00000000000e+07, 9.93212035998e+02, 4.92676688643e-04, 2.55490793328e+05
 6.40000000000e+01, 6.00000000000e+06, 9.83661678256e+02, 4.40685473540e-04, 2.72890948838e+05
 6.40000000000e+01, 7.00000000000e+06, 9.84093904139e+02, 4.40936503075e-04, 2.73720891233e+05
 6.40000000000e+01, 8.00000000000e+06, 9.84525123147e+02, 4.41187687300e-04, 2.74550671448e+05
 6.40000000000e+01, 9.00000000000e+06, 9.84955340982e+02, 4.41439030354e-04, 2.75380288255e+05
 6.40000000000e+01, 1.00000000000e+07, 9.85384563290e+02, 4.41690536312e-04, 2.76209740450e+05
 6.40000000000e+01, 1.10000000000e+07, 9.85812795655e+02, 4.41942209192e-04, 2.77039026860e+05
