HEADER	
'time'	'average water saturation'
UNITS	
'hour'	'none'
8.01E+00	4.11E-01
8.01E+00	4.11E-01
8.01E+00	4.12E-01
8.01E+00	4.13E-01
8.02E+00	4.14E-01
8.02E+00	4.15E-01
8.02E+00	4.16E-01
8.02E+00	4.18E-01
8.02E+00	4.19E-01
8.02E+00	4.20E-01
8.02E+00	4.21E-01
8.02E+00	4.22E-01
8.02E+00	4.23E-01
8.02E+00	4.24E-01
8.02E+00	4.25E-01
8.03E+00	4.27E-01
8.03E+00	4.28E-01
8.03E+00	4.29E-01
8.03E+00	4.31E-01
8.03E+00	4.32E-01
8.03E+00	4.33E-01
8.03E+00	4.34E-01
8.04E+00	4.35E-01
8.04E+00	4.36E-01
8.04E+00	4.37E-01
8.04E+00	4.39E-01
8.05E+00	4.40E-01
8.05E+00	4.42E-01
8.05E+00	4.43E-01
8.05E+00	4.44E-01
8.05E+00	4.45E-01
8.06E+00	4.47E-01
8.06E+00	4.48E-01
8.07E+00	4.50E-01
8.07E+00	4.51E-01
8.08E+00	4.53E-01
8.08E+00	4.55E-01
8.09E+00	4.56E-01
8.10E+00	4.58E-01
8.11E+00	4.60E-01
8.12E+00	4.61E-01
8.13E+00	4.63E-01
8.15E+00	4.64E-01
8.17E+00	4.66E-01
8.19E+00	4.68E-01
8.22E+00	4.69E-01
8.25E+00	4.70E-01
8.29E+00	4.72E-01
8.33E+00	4.73E-01
8.39E+00	4.74E-01
8.46E+00	4.75E-01
8.54E+00	4.76E-01
8.64E+00	4.77E-01
8.75E+00	4.78E-01
8.89E+00	4.79E-01
9.06E+00	4.80E-01
9.26E+00	4.81E-01
9.50E+00	4.82E-01
9.79E+00	4.83E-01
1.01E+01	4.85E-01
1.06E+01	4.86E-01
1.11E+01	4.87E-01
1.17E+01	4.88E-01
1.24E+01	4.90E-01
1.32E+01	4.91E-01
1.40E+01	4.93E-01
1.40E+01	4.93E-01
1.40E+01	4.93E-01
1.40E+01	4.93E-01
1.40E+01	4.93E-01
1.40E+01	4.93E-01
1.40E+01	4.93E-01
1.40E+01	4.93E-01
1.40E+01	4.93E-01
1.40E+01	4.93E-01
1.40E+01	4.93E-01
