# This autogenerated file contains solubilities of H2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 90.0, max temperature = 100.0, #temperature sampling points = 21
# min phase pressure = 6000000.0, max phase pressure = 26000000.0, #pressure sampling points = 21
#
# temperature [°C], phase pressure [Pa],         y_H2O [-],         x_H2 [-]
 9.25000000000e+01,   1.50000000000e+07, 4.54175905469e-03, 9.91170150830e-04
 9.25000000000e+01,   1.60000000000e+07, 4.30358063538e-03, 1.05571154946e-03
 9.25000000000e+01,   1.70000000000e+07, 4.09310883686e-03, 1.12005599410e-03
 9.25000000000e+01,   1.80000000000e+07, 3.90572188348e-03, 1.18420797725e-03
 9.25000000000e+01,   1.90000000000e+07, 3.73777110161e-03, 1.24817196908e-03
 9.25000000000e+01,   2.00000000000e+07, 3.58633765071e-03, 1.31195242288e-03
 9.25000000000e+01,   2.10000000000e+07, 3.44905875805e-03, 1.37555377942e-03
 9.25000000000e+01,   2.20000000000e+07, 3.32400134266e-03, 1.43898047027e-03
 9.25000000000e+01,   2.30000000000e+07, 3.20956860617e-03, 1.50223692021e-03
 9.25000000000e+01,   2.40000000000e+07, 3.10442997479e-03, 1.56532754902e-03
 9.25000000000e+01,   2.50000000000e+07, 3.00746785477e-03, 1.62825677272e-03
 9.25000000000e+01,   2.60000000000e+07, 2.91773667435e-03, 1.69102900442e-03
 9.30000000000e+01,   6.00000000000e+06, 1.03917245440e-02, 4.01615342840e-04
 9.30000000000e+01,   7.00000000000e+06, 9.01945419659e-03, 4.68310364900e-04
 9.30000000000e+01,   8.00000000000e+06, 7.98965857211e-03, 5.34764907551e-04
 9.30000000000e+01,   9.00000000000e+06, 7.18817118066e-03, 6.00984290597e-04
 9.30000000000e+01,   1.00000000000e+07, 6.54649192903e-03, 6.66973644928e-04
 9.30000000000e+01,   1.10000000000e+07, 6.02102973855e-03, 7.32737947675e-04
 9.30000000000e+01,   1.20000000000e+07, 5.58272384406e-03, 7.98282051601e-04
 9.30000000000e+01,   1.30000000000e+07, 5.21145525485e-03, 8.63610709553e-04
 9.30000000000e+01,   1.40000000000e+07, 4.89285329735e-03, 9.28728594682e-04
 9.30000000000e+01,   1.50000000000e+07, 4.61637953544e-03, 9.93640317104e-04
 9.30000000000e+01,   1.60000000000e+07, 4.37413021657e-03, 1.05835043750e-03
 9.30000000000e+01,   1.70000000000e+07, 4.16006138031e-03, 1.12286347816e-03
 9.30000000000e+01,   1.80000000000e+07, 3.96947226135e-03, 1.18718393184e-03
 9.30000000000e+01,   1.90000000000e+07, 3.79865182588e-03, 1.25131626888e-03
 9.30000000000e+01,   2.00000000000e+07, 3.64463134528e-03, 1.31526494276e-03
 9.30000000000e+01,   2.10000000000e+07, 3.50500766148e-03, 1.37903439440e-03
 9.30000000000e+01,   2.20000000000e+07, 3.37781465137e-03, 1.44262905542e-03
 9.30000000000e+01,   2.30000000000e+07, 3.26142822101e-03, 1.50605335075e-03
 9.30000000000e+01,   2.40000000000e+07, 3.15449505080e-03, 1.56931170023e-03
 9.30000000000e+01,   2.50000000000e+07, 3.05587844082e-03, 1.63240852000e-03
 9.30000000000e+01,   2.60000000000e+07, 2.96461665288e-03, 1.69534822329e-03
 9.35000000000e+01,   6.00000000000e+06, 1.05656637181e-02, 4.02574172298e-04
 9.35000000000e+01,   7.00000000000e+06, 9.17002262318e-03, 4.69441408525e-04
 9.35000000000e+01,   8.00000000000e+06, 8.12268823381e-03, 5.36068029464e-04
 9.35000000000e+01,   9.00000000000e+06, 7.30755005933e-03, 6.02459355002e-04
 9.35000000000e+01,   1.00000000000e+07, 6.65494160208e-03, 6.68620516349e-04
 9.35000000000e+01,   1.10000000000e+07, 6.12052952289e-03, 7.34556491111e-04
 9.35000000000e+01,   1.20000000000e+07, 5.67475821407e-03, 8.00272132610e-04
 9.35000000000e+01,   1.30000000000e+07, 5.29716609998e-03, 8.65772194273e-04
 9.35000000000e+01,   1.40000000000e+07, 4.97313780237e-03, 9.31061349830e-04
