# This autogenerated file contains thermodynamical properties of H2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 90.0, max temperature = 100.0, #temperature sampling points = 21
# min pressure = 6000000.0, max pressure = 26000000.0, #pressure sampling points = 21
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 9.20000000000e+01, 1.70000000000e+07, 1.03711495134e+01, 1.04152886476e-05, 5.00018725617e+06
 9.20000000000e+01, 1.80000000000e+07, 1.09281117531e+01, 1.04327025068e-05, 5.00677849969e+06
 9.20000000000e+01, 1.90000000000e+07, 1.14796299215e+01, 1.04507558881e-05, 5.01341306774e+06
 9.20000000000e+01, 2.00000000000e+07, 1.20257755740e+01, 1.04694280467e-05, 5.02008985534e+06
 9.20000000000e+01, 2.10000000000e+07, 1.25666200504e+01, 1.04886988714e-05, 5.02680774258e+06
 9.20000000000e+01, 2.20000000000e+07, 1.31022344148e+01, 1.05085488690e-05, 5.03356560247e+06
 9.20000000000e+01, 2.30000000000e+07, 1.36326893952e+01, 1.05289591500e-05, 5.04036230767e+06
 9.20000000000e+01, 2.40000000000e+07, 1.41580553242e+01, 1.05499114134e-05, 5.04719673603e+06
 9.20000000000e+01, 2.50000000000e+07, 1.46784020821e+01, 1.05713879311e-05, 5.05406777541e+06
 9.20000000000e+01, 2.60000000000e+07, 1.51937990431e+01, 1.05933715328e-05, 5.06097432752e+06
 9.25000000000e+01, 6.00000000000e+06, 3.85955081790e+00, 1.02821199149e-05, 4.93808028679e+06
 9.25000000000e+01, 7.00000000000e+06, 4.48033512325e+00, 1.02909041538e-05, 4.94414662111e+06
 9.25000000000e+01, 8.00000000000e+06, 5.09489880689e+00, 1.03006003647e-05, 4.95026320726e+06
 9.25000000000e+01, 9.00000000000e+06, 5.70331445501e+00, 1.03111800142e-05, 4.95643016968e+06
 9.25000000000e+01, 1.00000000000e+07, 6.30565419019e+00, 1.03226153496e-05, 4.96264739187e+06
 9.25000000000e+01, 1.10000000000e+07, 6.90198986519e+00, 1.03348793839e-05, 4.96891455302e+06
 9.25000000000e+01, 1.20000000000e+07, 7.49239319683e+00, 1.03479458830e-05, 4.97523116018e+06
 9.25000000000e+01, 1.30000000000e+07, 8.07693585147e+00, 1.03617893520e-05, 4.98159657666e+06
